cut,split_attr,pruned,accuracy
1,2,0.0,0.8845679012345679
1,2,0.0,0.8652263374485597
1,2,0.0,0.9056584362139918
1,2,0.0,0.8757201646090536
1,2,0.0,0.8831275720164609
1,3,0.0,0.9352880658436215
1,3,0.0,0.9179012345679012
1,3,0.0,0.932716049382716
1,3,0.0,0.9347736625514403
1,3,0.0,0.9374485596707819
2,2,0.0,0.8584362139917695
2,2,0.0,0.8774691358024691
2,2,0.0,0.8897119341563786
2,2,0.0,0.9092592592592592
2,2,0.0,0.8797325102880659
2,3,0.0,0.9368312757201646
2,3,0.0,0.9274691358024691
2,3,0.0,0.9304526748971194
2,3,0.0,0.9362139917695473
2,3,0.0,0.9248971193415638
3,2,0.0,0.8790123456790123
3,2,0.0,0.8348765432098766
3,2,0.0,0.8725308641975309
3,2,0.0,0.8608024691358025
3,2,0.0,0.8326131687242798
3,3,0.0,0.9521604938271605
3,3,0.0,0.9248971193415638
3,3,0.0,0.9347736625514403
3,3,0.0,0.9195473251028806
3,3,0.0,0.9291152263374486
4,2,0.0,0.9040123456790123
4,2,0.0,0.8984567901234568
4,2,0.0,0.8527777777777777
4,2,0.0,0.8681069958847737
4,2,0.0,0.8367283950617284
4,3,0.0,0.9150205761316872
4,3,0.0,0.9170781893004115
4,3,0.0,0.9222222222222223
4,3,0.0,0.932716049382716
4,3,0.0,0.918724279835391
5,2,0.0,0.8124485596707819
5,2,0.0,0.8044238683127573
5,2,0.0,0.8398148148148148
5,2,0.0,0.834156378600823
5,2,0.0,0.8148148148148148
5,3,0.0,0.9276748971193416
5,3,0.0,0.9156378600823045
5,3,0.0,0.9162551440329219
5,3,0.0,0.9193415637860082
5,3,0.0,0.9260288065843622
6,2,0.0,0.8350823045267489
6,2,0.0,0.8802469135802469
6,2,0.0,0.8337448559670781
6,2,0.0,0.89619341563786
6,2,0.0,0.8899176954732511
6,3,0.0,0.9246913580246914
6,3,0.0,0.901954732510288
6,3,0.0,0.9113168724279835
6,3,0.0,0.9175925925925926
6,3,0.0,0.9188271604938272
7,2,0.0,0.7948559670781893
7,2,0.0,0.7826131687242799
7,2,0.0,0.875
7,2,0.0,0.8463991769547325
7,2,0.0,0.7796296296296297
7,3,0.0,0.9034979423868312
7,3,0.0,0.9212962962962963
7,3,0.0,0.9112139917695473
7,3,0.0,0.8909465020576132
7,3,0.0,0.9161522633744856
8,2,0.0,0.8671810699588477
8,2,0.0,0.8347736625514404
8,2,0.0,0.7532921810699589
8,2,0.0,0.8411522633744856
8,2,0.0,0.8517489711934156
8,3,0.0,0.8780864197530864
8,3,0.0,0.9049382716049382
8,3,0.0,0.8704732510288066
8,3,0.0,0.9088477366255144
8,3,0.0,0.8929012345679013
