trees,split_attr,accuracy
16,3,90.04065040650406
16,4,89.6341463414634
16,5,90.24390243902441
16,6,87.60162601626014
16,7,88.6178861788618
16,8,89.02439024390246
16,9,87.8048780487805
16,10,88.6178861788618
16,11,89.22764227642277
16,12,85.77235772357723
16,13,85.77235772357723
17,1,91.26016260162602
17,2,92.47967479674796
17,3,90.4471544715447
17,4,89.02439024390246
17,5,92.6829268292683
17,6,90.04065040650406
17,7,89.6341463414634
17,8,88.41463414634147
17,9,88.41463414634147
17,10,88.0081300813008
17,11,88.21138211382113
17,12,87.8048780487805
17,13,88.21138211382113
18,1,91.869918699187
18,2,91.05691056910568
18,3,91.05691056910568
18,4,89.6341463414634
18,5,89.43089430894308
18,6,90.65040650406506
18,7,89.02439024390246
18,8,89.43089430894308
18,9,88.41463414634147
18,10,87.8048780487805
18,11,89.22764227642277
18,12,86.78861788617887
18,13,86.3821138211382
19,1,92.07317073170731
19,2,90.4471544715447
19,3,91.66666666666666
19,4,90.4471544715447
19,5,90.24390243902441
19,6,90.4471544715447
19,7,89.83739837398373
19,8,88.8211382113821
19,9,88.6178861788618
19,10,88.0081300813008
19,11,88.0081300813008
19,12,86.9918699186992
19,13,87.1951219512195
20,1,91.66666666666666
20,2,93.08943089430895
20,3,90.4471544715447
20,4,90.85365853658536
20,5,90.24390243902441
20,6,91.26016260162602
20,7,88.41463414634147
20,8,88.6178861788618
20,9,88.8211382113821
20,10,88.41463414634147
20,11,88.21138211382113
20,12,88.8211382113821
20,13,88.21138211382113
21,1,91.869918699187
21,2,91.66666666666666
21,3,91.05691056910568
21,4,89.6341463414634
21,5,89.83739837398373
21,6,89.83739837398373
21,7,90.65040650406506
21,8,89.83739837398373
21,9,89.02439024390246
21,10,88.8211382113821
21,11,88.0081300813008
21,12,88.6178861788618
21,13,87.8048780487805
22,1,91.869918699187
22,2,92.27642276422763
22,3,90.4471544715447
22,4,91.05691056910568
22,5,90.4471544715447
22,6,90.4471544715447
22,7,89.6341463414634
22,8,88.6178861788618
22,9,89.83739837398373
22,10,88.6178861788618
22,11,86.78861788617887
22,12,88.41463414634147
22,13,86.9918699186992
23,1,92.27642276422763
23,2,90.85365853658536
23,3,92.07317073170731
23,4,91.46341463414636
23,5,89.6341463414634
23,6,90.04065040650406
23,7,89.02439024390246
23,8,88.8211382113821
23,9,89.6341463414634
23,10,89.22764227642277
23,11,88.21138211382113
23,12,88.41463414634147
23,13,86.58536585365853
24,1,92.6829268292683
24,2,92.07317073170731
24,3,91.05691056910568
24,4,91.26016260162602
24,5,90.4471544715447
24,6,90.85365853658536
24,7,89.02439024390246
24,8,89.22764227642277
24,9,90.4471544715447
24,10,89.02439024390246
24,11,88.21138211382113
24,12,86.58536585365853
24,13,86.78861788617887
25,1,92.47967479674796
25,2,91.46341463414636
25,3,92.47967479674796
25,4,90.85365853658536
25,5,89.02439024390246
25,6,91.05691056910568
25,7,91.05691056910568
25,8,89.43089430894308
25,9,89.02439024390246
25,10,89.43089430894308
25,11,87.8048780487805
25,12,86.78861788617887
25,13,87.39837398373986
26,1,92.47967479674796
26,2,93.08943089430895
26,3,91.26016260162602
26,4,91.26016260162602
26,5,90.4471544715447
26,6,90.24390243902441
26,7,89.6341463414634
26,8,88.8211382113821
26,9,89.6341463414634
26,10,88.8211382113821
26,11,88.0081300813008
26,12,88.0081300813008
26,13,88.0081300813008
27,1,92.07317073170731
27,2,92.07317073170731
27,3,90.85365853658536
27,4,91.46341463414636
27,5,90.24390243902441
27,6,89.83739837398373
27,7,89.02439024390246
27,8,89.6341463414634
27,9,88.8211382113821
27,10,89.02439024390246
27,11,87.1951219512195
27,12,87.1951219512195
27,13,87.60162601626014
28,1,92.47967479674796
28,2,91.26016260162602
28,3,92.47967479674796
28,4,90.24390243902441
28,5,90.24390243902441
28,6,91.46341463414636
28,7,89.43089430894308
28,8,88.41463414634147
28,9,89.43089430894308
28,10,90.24390243902441
28,11,88.6178861788618
28,12,89.02439024390246
28,13,88.0081300813008
29,1,91.869918699187
29,2,91.869918699187
29,3,92.07317073170731
29,4,91.46341463414636
29,5,90.24390243902441
29,6,91.46341463414636
29,7,89.83739837398373
29,8,89.6341463414634
29,9,89.6341463414634
29,10,89.22764227642277
29,11,88.6178861788618
29,12,88.0081300813008
29,13,87.60162601626014
30,1,92.07317073170731
30,2,91.46341463414636
30,3,91.66666666666666
30,4,91.66666666666666
30,5,90.04065040650406
30,6,91.66666666666666
30,7,90.65040650406506
30,8,89.6341463414634
30,9,88.6178861788618
30,10,89.02439024390246
30,11,88.21138211382113
30,12,87.39837398373986
30,13,88.0081300813008
31,1,91.05691056910568
31,2,91.869918699187
31,3,91.66666666666666
31,4,91.66666666666666
31,5,91.05691056910568
31,6,90.65040650406506
31,7,89.83739837398373
31,8,89.83739837398373
31,9,89.83739837398373
31,10,88.0081300813008
31,11,87.39837398373986
31,12,87.8048780487805
31,13,88.21138211382113
32,1,93.08943089430895
32,2,92.47967479674796
32,3,91.869918699187
32,4,91.46341463414636
32,5,90.65040650406506
32,6,89.22764227642277
32,7,90.04065040650406
32,8,90.04065040650406
32,9,89.43089430894308
32,10,89.22764227642277
32,11,88.41463414634147
32,12,88.0081300813008
32,13,87.39837398373986
33,1,92.88617886178862
33,2,92.47967479674796
33,3,91.26016260162602
33,4,91.46341463414636
33,5,91.05691056910568
33,6,90.04065040650406
33,7,89.22764227642277
33,8,88.8211382113821
33,9,89.22764227642277
33,10,88.8211382113821
33,11,88.6178861788618
33,12,88.41463414634147
33,13,86.78861788617887
34,1,92.47967479674796
34,2,91.46341463414636
34,3,91.66666666666666
34,4,90.65040650406506
34,5,91.869918699187
34,6,90.65040650406506
34,7,91.05691056910568
34,8,89.83739837398373
34,9,89.83739837398373
34,10,88.41463414634147
34,11,88.41463414634147
34,12,88.21138211382113
34,13,88.0081300813008
35,1,92.27642276422763
35,2,92.07317073170731
35,3,92.07317073170731
35,4,91.869918699187
35,5,91.05691056910568
35,6,90.24390243902441
35,7,88.8211382113821
35,8,88.6178861788618
35,9,88.6178861788618
35,10,89.43089430894308
35,11,88.8211382113821
