trees,split_attr,accuracy
1,1,77.03252032520325
1,1,78.65853658536585
1,2,85.97560975609755
1,2,85.97560975609755
1,3,87.39837398373984
1,3,87.1951219512195
1,4,86.78861788617887
1,4,86.3821138211382
1,5,86.78861788617887
1,5,86.99186991869918
1,6,88.8211382113821
1,6,87.8048780487805
2,1,88.41463414634147
2,1,89.22764227642277
2,2,89.83739837398373
2,2,90.2439024390244
2,3,90.4471544715447
2,3,89.83739837398373
2,4,90.4471544715447
2,4,90.2439024390244
2,5,90.04065040650406
2,5,90.2439024390244
2,6,90.85365853658537
2,6,90.65040650406505
