trees,split_attr,accuracy
11,3,93.2201646090535
11,4,92.32510288065843
11,4,92.96296296296296
11,4,92.76748971193416
11,4,92.51028806584362
11,4,93.29218106995884
11,5,92.84979423868313
11,5,91.84156378600822
11,5,91.66666666666666
11,5,91.95473251028807
11,5,92.97325102880659
11,6,92.44855967078189
11,6,92.72633744855968
11,6,92.45884773662551
11,6,91.89300411522635
11,6,92.07818930041152
11,7,91.24485596707818
11,7,92.00617283950618
11,7,91.94444444444444
11,7,91.5843621399177
11,7,92.03703703703704
11,8,91.99588477366255
11,8,91.66666666666666
11,8,92.00617283950618
11,8,91.47119341563787
11,8,91.53292181069959
11,9,91.8724279835391
11,9,91.69753086419753
11,9,91.93415637860082
11,9,91.22427983539094
11,9,91.82098765432099
11,10,91.88271604938272
11,10,91.70781893004116
11,10,91.20370370370371
11,10,91.41975308641975
11,10,91.13168724279835
11,11,91.46090534979425
11,11,91.53292181069959
11,11,91.37860082304526
11,11,91.0493827160494
11,11,92.07818930041152
11,12,90.99794238683128
11,12,89.93827160493827
11,12,90.67901234567901
11,12,90.89506172839506
11,12,90.7201646090535
11,13,90.4835390946502
11,13,90.31893004115227
11,13,91.66666666666666
11,13,90.7201646090535
11,13,89.7633744855967
11,14,91.32716049382717
11,14,90.22633744855966
11,14,89.93827160493827
11,14,90.79218106995884
11,14,90.75102880658437
11,15,90.15432098765433
11,15,90.79218106995884
11,15,90.22633744855966
11,15,89.46502057613168
11,15,91.2962962962963
13,1,93.32304526748972
13,1,93.72427983539094
13,1,94.34156378600824
13,1,93.11728395061728
13,1,93.86831275720165
13,2,94.10493827160494
13,2,92.91152263374485
13,2,92.92181069958848
13,2,93.11728395061728
13,2,93.38477366255145
13,3,92.80864197530863
13,3,92.87037037037037
13,3,92.62345679012346
13,3,93.62139917695474
13,3,93.71399176954732
13,4,92.22222222222223
13,4,92.76748971193416
13,4,92.74691358024691
13,4,93.18930041152264
13,4,93.82716049382715
13,5,92.38683127572016
13,5,92.81893004115226
13,5,92.54115226337449
13,5,93.56995884773663
13,5,92.94238683127573
13,6,92.97325102880659
13,6,93.17901234567901
13,6,92.47942386831276
13,6,92.62345679012346
13,6,92.5925925925926
13,7,92.31481481481481
13,7,92.38683127572016
13,7,92.97325102880659
13,7,91.89300411522635
13,7,91.64609053497942
13,8,92.28395061728395
13,8,92.15020576131687
13,8,92.58230452674897
13,8,92.80864197530863
13,8,92.09876543209876
13,9,92.52057613168724
13,9,91.52263374485597
13,9,91.60493827160494
13,9,91.50205761316872
13,9,91.18312757201646
13,10,92.29423868312757
13,10,90.17489711934157
13,10,91.52263374485597
13,10,92.05761316872429
13,10,91.76954732510289
13,11,91.28600823045268
13,11,90.79218106995884
13,11,91.08024691358024
13,11,91.36831275720164
13,11,91.38888888888889
13,12,91.46090534979425
13,12,91.39917695473251
13,12,90.69958847736626
13,12,90.95679012345678
13,12,91.16255144032922
13,13,91.63580246913581
13,13,91.40946502057614
13,13,90.40123456790124
13,13,91.62551440329219
13,13,91.21399176954732
13,14,90.95679012345678
13,14,90.41152263374485
13,14,91.41975308641975
13,14,90.25720164609054
13,14,92.1604938271605
13,15,89.97942386831276
13,15,91.50205761316872
13,15,90.94650205761316
13,15,91.03909465020577
13,15,89.93827160493827
15,1,94.00205761316872
15,1,93.35390946502058
15,1,93.27160493827161
15,1,93.15843621399176
15,1,93.98148148148148
15,2,93.80658436213992
15,2,93.53909465020575
15,2,93.43621399176955
15,2,93.27160493827161
15,2,93.81687242798354
15,3,93.64197530864197
15,3,93.33333333333333
15,3,94.22839506172839
15,3,93.25102880658436
15,3,93.68312757201646
15,4,93.33333333333333
15,4,92.90123456790124
15,4,93.28189300411522
15,4,92.58230452674897
15,4,93.51851851851852
15,5,92.62345679012346
15,5,93.03497942386831
15,5,92.84979423868313
15,5,93.1275720164609
15,5,92.53086419753086
15,6,92.04732510288066
15,6,92.67489711934157
15,6,92.81893004115226
15,6,92.68518518518518
15,6,92.42798353909465
15,7,92.17078189300412
15,7,92.5925925925926
15,7,92.73662551440329
15,7,91.37860082304526
15,7,92.41769547325103
15,8,92.60288065843622
15,8,92.77777777777779
15,8,92.73662551440329
15,8,91.50205761316872
15,8,91.98559670781893
15,9,92.10905349794238
15,9,92.22222222222223
15,9,92.18106995884774
15,9,92.37654320987654
15,9,92.01646090534979
15,10,92.10905349794238
15,10,91.70781893004116
15,10,91.84156378600822
15,10,91.76954732510289
15,10,91.43004115226337
15,11,91.5432098765432
15,11,92.02674897119341
15,11,91.38888888888889
15,11,91.81069958847736
15,11,91.47119341563787
15,12,91.66666666666666
15,12,91.12139917695472
15,12,91.4917695473251
15,12,92.08847736625513
15,12,92.61316872427983
15,13,91.70781893004116
15,13,92.05761316872429
15,13,91.59465020576133
15,13,91.32716049382717
15,13,91.0493827160494
15,14,91.63580246913581
15,14,91.82098765432099
15,14,91.11111111111111
15,14,91.02880658436214
15,14,90.88477366255144
15,15,91.12139917695472
15,15,91.63580246913581
15,15,90.7716049382716
15,15,91.81069958847736
15,15,91.17283950617285
17,1,93.96090534979425
17,1,94.15637860082305
17,1,93.9917695473251
17,1,94.14609053497942
17,1,94.32098765432099
17,2,93.69341563786008
17,2,93.62139917695474
17,2,93.78600823045268
17,2,93.33333333333333
17,2,93.71399176954732
17,3,93.45679012345678
17,3,93.68312757201646
17,3,93.67283950617285
17,3,93.16872427983539
17,3,93.6522633744856
17,4,93.25102880658436
17,4,93.3127572016461
17,4,93.18930041152264
17,4,93.64197530864197
17,4,93.26131687242798
17,5,93.58024691358024
17,5,93.6522633744856
17,5,92.86008230452674
17,5,92.48971193415639
17,5,93.38477366255145
17,6,93.78600823045268
17,6,92.99382716049382
17,6,92.92181069958848
17,6,92.75720164609054
17,6,93.01440329218107
17,7,92.54115226337449
17,7,93.4156378600823
17,7,92.62345679012346
17,7,92.41769547325103
17,7,92.32510288065843
17,8,92.27366255144032
17,8,92.01646090534979
17,8,92.28395061728395
17,8,92.09876543209876
17,8,92.76748971193416
17,9,92.57201646090535
17,9,91.63580246913581
17,9,91.92386831275721
17,9,91.75925925925927
17,9,91.40946502057614
17,10,92.15020576131687
17,10,92.34567901234568
17,10,92.01646090534979
17,10,92.29423868312757
17,10,91.85185185185185
17,11,91.81069958847736
17,11,91.63580246913581
17,11,91.63580246913581
17,11,91.69753086419753
17,11,91.70781893004116
17,12,92.44855967078189
17,12,92.00617283950618
17,12,91.63580246913581
17,12,91.93415637860082
17,12,91.81069958847736
17,13,92.01646090534979
17,13,91.34773662551441
17,13,91.94444444444444
17,13,91.61522633744856
17,13,91.31687242798354
17,14,91.95473251028807
17,14,91.83127572016461
17,14,91.56378600823045
17,14,91.30658436213992
17,14,91.32716049382717
17,15,91.48148148148148
17,15,91.17283950617285
17,15,91.5432098765432
17,15,91.16255144032922
17,15,91.55349794238683
19,1,94.36213991769547
19,1,94.20781893004116
19,1,94.2798353909465
19,1,94.34156378600824
19,1,94.26954732510288
19,2,94.0843621399177
19,2,93.96090534979425
19,2,94.10493827160494
19,2,93.86831275720165
19,2,93.91975308641976
19,3,93.95061728395062
19,3,93.40534979423867
19,3,93.97119341563786
19,3,94.4238683127572
19,3,93.93004115226337
19,4,93.77572016460906
19,4,93.7448559670782
19,4,93.98148148148148
19,4,93.89917695473251
19,4,93.56995884773663
19,5,93.19958847736626
19,5,93.40534979423867
19,5,93.62139917695474
19,5,93.19958847736626
19,5,92.99382716049382
19,6,93.89917695473251
19,6,93.34362139917695
19,6,93.05555555555556
19,6,92.90123456790124
19,6,93.29218106995884
19,7,92.47942386831276
19,7,91.99588477366255
19,7,92.99382716049382
19,7,92.99382716049382
19,7,93.30246913580247
19,8,92.5
19,8,93.2201646090535
19,8,91.90329218106996
19,8,93.10699588477365
19,8,92.99382716049382
19,9,92.56172839506172
19,9,92.6440329218107
19,9,92.58230452674897
19,9,92.84979423868313
19,9,92.58230452674897
19,10,92.12962962962963
19,10,92.25308641975309
19,10,92.44855967078189
19,10,92.60288065843622
19,10,92.47942386831276
19,11,92.01646090534979
19,11,91.56378600823045
19,11,92.19135802469137
19,11,92.03703703703704
19,11,92.60288065843622
19,12,91.71810699588477
19,12,92.02674897119341
19,12,92.24279835390946
19,12,91.39917695473251
19,12,91.62551440329219
19,13,91.83127572016461
19,13,92.6440329218107
