trees,split_attr,accuracy
1,1,84.14634146341463
1,1,78.65853658536585
1,1,80.89430894308943
1,1,84.95934959349594
1,1,82.52032520325203
1,2,79.8780487804878
1,2,79.26829268292683
1,2,83.53658536585365
1,2,80.08130081300813
1,2,78.2520325203252
1,3,81.30081300813008
1,3,76.01626016260163
1,3,75.20325203252033
1,3,81.91056910569105
1,3,83.33333333333334
1,4,76.01626016260163
1,4,84.14634146341463
1,4,77.03252032520325
1,4,76.82926829268293
1,4,78.2520325203252
1,5,77.84552845528455
1,5,82.3170731707317
1,5,81.70731707317073
1,5,68.08943089430895
1,5,78.2520325203252
1,6,74.59349593495935
1,6,79.0650406504065
1,6,69.10569105691057
1,6,76.21951219512195
1,6,76.82926829268293
1,7,77.23577235772358
1,7,74.39024390243902
1,7,77.64227642276423
1,7,79.0650406504065
1,7,76.6260162601626
1,8,78.2520325203252
1,8,73.98373983739837
1,8,78.86178861788618
1,8,77.84552845528455
1,8,80.6910569105691
1,9,79.67479674796748
1,9,73.17073170731707
1,9,73.3739837398374
1,9,72.15447154471545
1,9,84.7560975609756
1,10,76.01626016260163
1,10,74.79674796747967
1,10,78.86178861788618
1,10,78.45528455284553
1,10,81.09756097560977
1,11,68.4959349593496
1,11,80.28455284552845
1,11,73.78048780487805
1,11,82.3170731707317
1,11,74.39024390243902
1,12,75.40650406504065
1,12,81.09756097560977
1,12,74.39024390243902
1,12,82.11382113821138
1,12,79.47154471544715
1,13,74.79674796747967
1,13,70.1219512195122
1,13,73.78048780487805
1,13,81.5040650406504
1,13,71.54471544715447
2,1,81.91056910569105
2,1,81.09756097560977
2,1,76.6260162601626
2,1,81.30081300813008
2,1,74.79674796747967
2,2,80.28455284552845
2,2,77.84552845528455
2,2,82.92682926829268
2,2,78.45528455284553
2,2,76.6260162601626
2,3,82.11382113821138
2,3,82.11382113821138
2,3,80.28455284552845
2,3,82.3170731707317
2,3,75.60975609756098
2,4,78.86178861788618
2,4,78.65853658536585
2,4,78.86178861788618
2,4,81.91056910569105
2,4,80.48780487804879
2,5,77.23577235772358
2,5,80.48780487804879
2,5,82.3170731707317
2,5,79.8780487804878
2,5,71.95121951219512
2,6,78.65853658536585
2,6,76.21951219512195
2,6,77.64227642276423
2,6,76.6260162601626
2,6,77.4390243902439
2,7,80.6910569105691
2,7,78.2520325203252
2,7,76.82926829268293
2,7,74.79674796747967
2,7,77.4390243902439
2,8,80.6910569105691
2,8,68.69918699186992
2,8,69.3089430894309
2,8,80.28455284552845
2,8,76.01626016260163
2,9,69.91869918699187
2,9,77.84552845528455
2,9,70.9349593495935
2,9,76.42276422764228
2,9,78.2520325203252
2,10,78.86178861788618
2,10,74.59349593495935
2,10,76.01626016260163
2,10,79.8780487804878
2,10,72.96747967479675
2,11,75.60975609756098
2,11,74.39024390243902
2,11,79.8780487804878
2,11,76.01626016260163
2,11,79.47154471544715
2,12,78.45528455284553
2,12,71.54471544715447
2,12,69.51219512195121
2,12,77.64227642276423
2,12,76.42276422764228
2,13,71.7479674796748
2,13,73.78048780487805
2,13,75.8130081300813
2,13,71.54471544715447
2,13,71.95121951219512
3,1,87.1951219512195
3,1,86.1788617886179
3,1,83.94308943089432
3,1,83.33333333333334
3,1,87.8048780487805
3,2,83.33333333333334
3,2,83.53658536585365
3,2,83.53658536585365
3,2,84.14634146341463
